i,word,freq,ipa,xsampa
15789,Brookfield,3,"['b', 'r', 'ɔ', 'k', 'f', 'i', 'e', 'l', 'd']","['b', 'r', 'O', 'k', 'f', 'i', 'e', 'l', 'd']"
15790,Brookhaven,3,"['b', 'r', 'ɔ', 'k', 'h', 'a', 'v', 'e', 'n']","['b', 'r', 'O', 'k', 'h', 'a', 'v', 'e', 'n']"
15791,Brotas,3,"['b', 'r', 'ə', 't', 'a', 's']","['b', 'r', '@', 't', 'a', 's']"
15792,Brownsboro,3,"['b', 'r', 'ə', 'w', 'n', 's', 'b', 'ə', 'r', 'ə']","['b', 'r', '@', 'w', 'n', 's', 'b', '@', 'r', '@']"
15793,Brownstown,3,"['b', 'r', 'ə', 'w', 'n', 's', 't', 'ə', 'w', 'n']","['b', 'r', '@', 'w', 'n', 's', 't', '@', 'w', 'n']"
15794,Bruegel,3,"['b', 'r', 'u̯', 'e', 'ɡ', 'e', 'l']","['b', 'r', 'u_^', 'e', 'g', 'e', 'l']"
15795,Brunn,3,"['b', 'r', 'u', 'n', 'n']","['b', 'r', 'u', 'n', 'n']"
15796,Brush,3,"['b', 'r', 'u', 's', 'ʔ']","['b', 'r', 'u', 's', '?']"
15797,Brynica,3,"['b', 'r', 'y', 'n', 'i', 'c', 'a']","['b', 'r', 'y', 'n', 'i', 'c', 'a']"
15798,Brzezinka,3,"['b', 'r', 'z', 'e', 'z', 'i', 'n', 'k', 'a']","['b', 'r', 'z', 'e', 'z', 'i', 'n', 'k', 'a']"
15799,Brzezinki,3,"['b', 'r', 'z', 'e', 'z', 'i', 'n', 'k', 'i']","['b', 'r', 'z', 'e', 'z', 'i', 'n', 'k', 'i']"
15800,Brzozie,3,"['b', 'r', 'z', 'ə', 'z', 'i', 'e']","['b', 'r', 'z', '@', 'z', 'i', 'e']"
15801,Brzozowo,3,"['b', 'r', 'z', 'ə', 'z', 'ə', 'w', 'ə']","['b', 'r', 'z', '@', 'z', '@', 'w', '@']"
15803,Bucakköy,3,"['b', 'u', 'c', 'a', 'k', 'k', 'ö', 'y']","['b', 'u', 'c', 'a', 'k', 'k', 'o_""', 'y']"
15804,Buch,3,"['b', 'u', 't͡s', '˥']","['b', 'u', 'ts', '_T']"
15805,Buckley,3,"['b', 'u', 'c', 'k', 'l', 'e', 'y']","['b', 'u', 'c', 'k', 'l', 'e', 'y']"
15806,Bud,3,"['b', 'u', 'd']","['b', 'u', 'd']"
15807,Bueno,3,"['b', 'u̯', 'e', 'n', 'ə']","['b', 'u_^', 'e', 'n', '@']"
15808,Building,3,"['b', 'u̯', 'i', 'l', 'd', 'i', 'ə̯', 'ŋ']","['b', 'u_^', 'i', 'l', 'd', 'i', '@_^', 'N']"
15809,Bukovec,3,"['b', 'u', 'k', 'ə', 'v', 'e', 'c']","['b', 'u', 'k', '@', 'v', 'e', 'c']"
15810,Bukowa,3,"['b', 'u', 'k', 'ə', 'w', 'a']","['b', 'u', 'k', '@', 'w', 'a']"
15811,Bukowie,3,"['b', 'u', 'k', 'ə', 'w', 'i', 'e']","['b', 'u', 'k', '@', 'w', 'i', 'e']"
15812,Bulls,3,"['b', 'u', 'l', 'l', 's']","['b', 'u', 'l', 'l', 's']"
15813,Bun,3,"['b', 'u', 'n']","['b', 'u', 'n']"
15814,Burgess,3,"['b', 'u', 'r', 'ɡ', 'e', 's', 's']","['b', 'u', 'r', 'g', 'e', 's', 's']"
15815,Burgos,3,"['b', 'u', 'r', 'ɡ', 'ə', 's']","['b', 'u', 'r', 'g', '@', 's']"
15816,Burlöv,3,"['b', 'u', 'r', 'l', 'ö', 'v']","['b', 'u', 'r', 'l', 'o_""', 'v']"
15817,Bursa,3,"['b', 'u', 'r', 's', 'a']","['b', 'u', 'r', 's', 'a']"
15818,Burundi,3,"['b', 'u', 'r', 'u', 'n', 'd', 'i']","['b', 'u', 'r', 'u', 'n', 'd', 'i']"
15819,Bushnell,3,"['b', 'u', 's', 'h', 'n', 'e', 'l', 'l']","['b', 'u', 's', 'h', 'n', 'e', 'l', 'l']"
15820,Butane,3,"['b', 'u', 't', 'a', 'n', 'e']","['b', 'u', 't', 'a', 'n', 'e']"
15821,Butts,3,"['b', 'u', 't', 't͡s']","['b', 'u', 't', 'ts']"
15824,Byers,3,"['b', 'y', 'e', 'r', 's']","['b', 'y', 'e', 'r', 's']"
15825,Bystrzejowice,3,"['b', 'y', 's', 't', 'r', 'z', 'e', 'd͡z', 'ə', 'w', 'i', 'c', 'e']","['b', 'y', 's', 't', 'r', 'z', 'e', 'dz', '@', 'w', 'i', 'c', 'e']"
15831,Bälinge,3,"['b', 'ä', 'l', 'i', 'ə̯', 'ŋ', 'e']","['b', 'a_""', 'l', 'i', '@_^', 'N', 'e']"
15929,Chaco,3,"['t͡s', 'a', '˥', 'c', 'ə']","['ts', 'a', '_T', 'c', '@']"
15930,Chaffee,3,"['t͡s', 'a', '˥', 'f', 'f', 'e', 'e']","['ts', 'a', '_T', 'f', 'f', 'e', 'e']"
15931,Chain,3,"['t͡s', 'a', 'i̯', 'n', '˥']","['ts', 'a', 'i_^', 'n', '_T']"
15932,Chakri,3,"['t͡s', 'a', 'k', '˧', 'r', 'i']","['ts', 'a', 'k', '_M', 'r', 'i']"
15934,Chana,3,"['t͡s', 'a', 'n', 'a', '˥']","['ts', 'a', 'n', 'a', '_T']"
15935,Channing,3,"['t͡s', 'a', 'n', 'n', 'i', 'ŋ', '˥']","['ts', 'a', 'n', 'n', 'i', 'N', '_T']"
15936,Chapadão,3,"['t͡s', 'a', 'p', 'a', '˥', 'd', 'ã', 'ə']","['ts', 'a', 'p', 'a', '_T', 'd', 'a~', '@']"
15937,Chapman,3,"['t͡s', 'a', 'p', 'm', 'a', 'n', '˥']","['ts', 'a', 'p', 'm', 'a', 'n', '_T']"
