i,word,freq,ipa,xsampa
14306,Store,9,"['s', 't', 'o', 'z̩', 'e̞']","['s', 't', 'o', 'z=', 'e_o']"
14310,Times,9,"['t', 'i', 'm', 'e̞', 's']","['t', 'i', 'm', 'e_o', 's']"
14325,https,9,"['h', 't', 't', 'p', 's']","['h', 't', 't', 'p', 's']"
14326,is,9,"['i', 's']","['i', 's']"
14327,l,9,['l'],['l']
14330,people,9,"['p', 'e̞', 'o', 'p', 'l', 'e̞']","['p', 'e_o', 'o', 'p', 'l', 'e_o']"
14331,pp,9,"['p', 'p']","['p', 'p']"
14333,ric,9,"['z̩', 'i', 'c']","['z=', 'i', 'c']"
14335,torii,9,"['t', 'o', 'z̩', 'i', 'i']","['t', 'o', 'z=', 'i', 'i']"
15552,Antoine,8,"['ã', 't', 'o', 'ɪ', 'ɲ', 'e̞']","['a~', 't', 'o', 'I', 'J', 'e_o']"
15553,Anton,8,"['ã', 't', 'ʊ', 'ŋ']","['a~', 't', 'U', 'N']"
15561,Auto,8,"['ɔ', 't', 'o']","['O', 't', 'o']"
15580,Electric,8,"['e̞', 'l', 'e̞', 'c', 't', 'z̩', 'i', 'c']","['e_o', 'l', 'e_o', 'c', 't', 'z=', 'i', 'c']"
15584,Felipe,8,"['f', 'e̞', 'l', 'i', 'p', 'e̞']","['f', 'e_o', 'l', 'i', 'p', 'e_o']"
15598,Holy,8,"['h', 'o', 'l', 'y']","['h', 'o', 'l', 'y']"
15599,Home,8,"['h', 'o', 'm', 'e̞']","['h', 'o', 'm', 'e_o']"
15600,Hot,8,"['h', 'o', 't']","['h', 'o', 't']"
15602,IRT,8,"['i', 'z̩', 't']","['i', 'z=', 't']"
15603,Il,8,"['i', 'l']","['i', 'l']"
15608,Jeffrey,8,"['t͡ɕ', 'e̞', 'f', 'f', 'z̩', 'e̞', 'y']","['ts\\', 'e_o', 'f', 'f', 'z=', 'e_o', 'y']"
15612,Kü,8,"['k', 'ü']","['k', 'u_""']"
15617,Little,8,"['l', 'i', 't', 't', 'l', 'e̞']","['l', 'i', 't', 't', 'l', 'e_o']"
15621,Lyon,8,"['l', 'y', 'ʊ', 'ŋ']","['l', 'y', 'U', 'N']"
15627,Metropolitan,8,"['m', 'e̞', 't', 'z̩', 'o', 'p', 'o', 'l', 'i', 't', 'ã']","['m', 'e_o', 't', 'z=', 'o', 'p', 'o', 'l', 'i', 't', 'a~']"
15637,OMFRS,8,"['o', 'm', 'f', 'z̩', 's']","['o', 'm', 'f', 'z=', 's']"
15638,Ocean,8,"['o', 'c', 'e̞', 'ã']","['o', 'c', 'e_o', 'a~']"
15643,Pan,8,"['p', 'ã']","['p', 'a~']"
15647,Philipp,8,"['pʰ', 'i', 'l', 'i', 'p', 'p']","['p_h', 'i', 'l', 'i', 'p', 'p']"
15648,Phoenix,8,"['pʰ', 'ø', 'n', 'i', 'ɕ']","['p_h', '2', 'n', 'i', 's\\']"
15650,Porto,8,"['p', 'o', 'z̩', 't', 'o']","['p', 'o', 'z=', 't', 'o']"
15651,Princess,8,"['p', 'z̩', 'ɪ', 'ɲ', 'c', 'e̞', 's', 's']","['p', 'z=', 'I', 'J', 'c', 'e_o', 's', 's']"
15654,ROM,8,"['z̩', 'o', 'm']","['z=', 'o', 'm']"
15660,Roman,8,"['z̩', 'o', 'm', 'ã']","['z=', 'o', 'm', 'a~']"
15663,SM,8,"['s', 'm']","['s', 'm']"
